Recency,Frequency,Monetary,Cluster,CustomerID
3,15,12416.11,3,15640.0
0,14,6479.4,3,15694.0
18,16,4812.42,3,15738.0
234,3,44534.299999999996,3,15749.0
6,26,56252.72,3,15769.0
22,17,5488.18,3,15805.0
10,19,33643.08,3,15838.0
3,27,16143.64,3,15856.0
4,15,3810.14,3,15867.0
89,15,6115.01,3,15939.0
7,16,3352.96,3,16011.0
3,47,37130.6,3,16013.0
5,20.000000000000004,8778.82,3,16033.0
3,33,14589.04,3,16133.0
1,19,5533.67,3,16161.0
10,27,3787.6,3,16168.0
31,15,6911.4400000000005,3,16187.0
1,18,21086.3,3,16210.0
7,22,26626.8,3,16333.0
3,23,6675.71,3,16353.0
16,51,34684.4,3,16422.0
2,18,3482.7400000000002,3,16458.0
1,21,9418.470000000001,3,16523.0
1,26,13027.45,3,16525.0
0,20.000000000000004,8338.49,3,16558.0
3,16,4113.68,3,16592.0
0,17,4413.1,3,16626.0
21,15,8625.8,3,16656.0
1,20.000000000000004,8134.9400000000005,3,16672.0
3,28,66653.56,3,16684.0
0,20.000000000000004,14034.990000000002,3,16705.0
18,15,6910.78,3,16713.0
36.99999999999999,21,7205.33,3,16729.0
86,17,7180.7,3,16745.0
4,18,6680.11,3,16746.0
1,22,10611.720000000001,3,16779.0
13,21,6416.7,3,16814.0
8,34,16594.35,3,16839.0
42,16,10196.57,3,16843.0
3,16,3653.75,3,16904.0
11,19,7069.080000000001,3,16923.0
79,17,2814.7,3,16928.0
4,21,4554.87,3,16931.0
21,19,4345.5,3,16945.0
2,20.000000000000004,8694.26,3,17017.0
11,21,4552.14,3,17068.0
15,12,10650.77,3,17139.0
2,17,3719.1,3,17238.0
0,26,8540.05,3,17243.0
10,19,8631.31,3,17306.0
1,38,6281.23,3,17315.0
29,11,12353.29,3,17340.0
3,15,2622.88,3,17346.0
23,20.000000000000004,4058.32,3,17377.0
8,29,20275.61,3,17381.0
0,34,31833.680000000004,3,17389.0
3,15,31906.82,3,17404.0
0,28,17256.85,3,17428.0
7,19,3564.83,3,17576.0
0,25,11025.240000000002,3,17581.0
6,15,3961.12,3,17611.0
0,31,20374.28,3,17675.0
1,30,16345.380000000001,3,17677.0
29,15,4726.8,3,17690.0
3,17,10504.490000000002,3,17706.0
36.99999999999999,15,5396.04,3,17719.0
1,19,13110.02,3,17735.0
0,30,5593.39,3,17757.0
3,39,7761.820000000001,3,17811.0
371,34,5391.21,3,17850.0
3,23,26879.04,3,17857.0
30,20.000000000000004,10526.32,3,17865.0
3,17,4119.5,3,17920.0
0,45,58510.48,3,17949.0
20,39,1296.44,3,17961.0
11,21,4097.37,3,18041.0
1,26,8004.92,3,18109.0
10,26,5625.08,3,18118.0
14,20.000000000000004,7561.68,3,18172.0
3,17,5425.56,3,18198.0
4,14,6484.54,3,18223.0
11,20.000000000000004,7276.900000000001,3,18229.0
9,17,2073.09,3,18241.0
3,16,2045.53,3,18283.0
